,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SIMPLE COMPARISON,,,,,,,,,,PRIVACY,,,,,,,,,,,,,TECHNICAL,,,,,,,,,,,,,,,,,WEBSITE,,,,,PRICING,,,,ETHICS,,,,,,
,      (RAW DATA TO THE RIGHT) --->,,,,,,,,,,JURISDICTION,,,LOGGING,,ACTIVISM,,,,,,,,SERVICE CONFIGURATION,,,,,SECURITY,,,,AVAILABILITY,,,,,,,,COOKIES,,CONFIGURATION,,,,,,,BUSINESS PRACTICES,,,,,AFFILIATES,
Sheet last updated 6/17/2018,PRIVACY,,,TECHNICAL,,,BUSINESS,,,,,,,,,,,,,,,,,WEBMAIL,,PROTOCOLS,,,ENCRYPTION,,,2FA,ADDRESSES,,FEATURES,,,,STORAGE,,,,,,,,,,,GOOD FAITH,,AFFILIATE / RESELLER POLICY,,,,
EMAIL SERVICE,Jurisdiction,Logging,Activism,Service Config,Security,Availability,Website,Pricing,Ethics,,Based in (Country),"""Fourteen Eyes"" Country",Enemy of the Internet,Payment Info,IP Address,Anonymous Payment Method,Accepts Cash,Accepts Gift Cards,Accepts Crypto Currency,Open Source Platform,PGP Key Available,Gives back to Privacy Causes,Meets PrivacyToolsIO Criteria,Web Mail Access,Header Info Stripped,POP3,IMAP,SMTP,User can Control Private Key,Encryption (In Transit),Encryption (At Rest),2FA Option,# of Addresses,Custom Domain,Supports CalDAV,Supports WebDAV,Supports CardDAV,Supports ActiveSync,Email Storage (in GB),Document Storage (in GB),# of Persistent Cookies,# of External Trackers,# of Proprietary API's,Server SSL Rating,SSL Certificate issued to,$ / Month - (Annual Pricing),$ / Addresses / Month,Free Trial,Refund Window (Days),Falsely Claims Service is 100% Secure,Incentivizes social media spam,Forbids spam,Requires ethical copy,Requires full disclosure,Practice ethical copy,Give full disclosure
AOL Mail,4,2,6,1,1,4,12,0,4,,USA,Five,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,SSL/TLS,None,Yes,1,Yes,Yes,No,No,No,1000,5,11,6,9,A-,Self,"$0,00","$0,00",Free,Free,,,No,No,No,,No
AtMail,2,2,1,1,1,0,8,6,0,,Australia,Five,No,Yes,Yes,Email,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,SSL/TLS,,Yes,25,Yes,Yes,Yes,Yes,Yes,10,10,4,4,14,A+,CloudFlare,"$40,21","$1,61",Yes,0,,,,,,,
CounterMail,1,1,5,"0,5",0,7,5,6,0,,Sweden,Fourteen,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,SSL/TLS,OpenPGP,Yes,1,Yes,No,No,No,No,"0,5",0,0,0,0,C,Self,"$4,91","$4,91",No,14,,,,,,,
CryptoHeaven,2,"0,5",6,"2,5",1,6,13,3,4,,Canada,Five,No,,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,SSL/TLS,TDE,Yes,5,Yes,No,No,No,No,"0,2",0,9,3,3,F,No SSL Cert,"$5,50","$1,10",Yes,30,,,No,No,No,,No
DigitalSafe,1,1,6,"3,5",3,7,3,8,0,,Switzerland,Cooperative,No,,,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,SSL/TLS,,No,1,No,No,No,No,No,5,,3,3,0,A+,Self,"$7,50","$7,50",No,0,,,,,,,
Disroot,1,"1,5",1,1,2,4,0,0,0,,Netherlands,Nine,No,,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,SSL/TLS,None,No,1,Yes,Yes,No,No,No,4,4,0,0,0,A+,Self,"$0,00","$0,00",Free,Free,,,,,,,
EuMX,3,2,6,1,3,7,8,4,0,,,Not Disclosed,Not Disclosed,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,SSL/TLS,,No,1,No,No,No,No,No,25,,0,0,0,T,No SSL Cert,,,No,0,,,,,,,
Fastmail,2,1,"4,5",1,1,2,2,7,4,,Australia,Five,No,,,No,No,No,Yes,Some,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,SSL/TLS,,Yes,1,Yes,Yes,Yes,Yes,No,25,10,0,1,1,A+,Self,"$4,16","$4,16",Yes,0,,,No,No,No,,No
Gmail,4,2,5,0,1,1,2,0,0,,USA,Five,Yes,Yes,Yes,No,Free,Free,Free,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,SSL/TLS,None,Yes,1,Yes,Yes,Yes,Yes,Yes,15,15,0,0,6,A,Self,"$0,00","$0,00",Free,Free,,,,,,,
GMX Mail,1,"1,5",5,1,2,4,7,0,4,,Germany,Fourteen,No,,Yes,No,Free,Free,Free,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,SSL/TLS,,No,1,No,Yes,No,Yes,No,2,2,5,4,26,A,Self,"$0,00","$0,00",Free,Free,,,No,No,No,,No
Hotmail,4,"1,5",5,1,1,2,2,0,4,,USA,Five,Yes,,Yes,No,Free,Free,Free,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,SSL/TLS,,Yes,1,Yes,Yes,No,Yes,Yes,5,15,0,1,1,A,Self,"$0,00","$0,00",Free,Free,,,No,No,No,,No
Hushmail,2,2,3,1,1,6,2,4,4,,Canada,Five,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,SSL/TLS,PGP,Yes,1,Yes,No,No,No,No,10,0,3,2,0,A+,Self,"$4,17","$4,17",Yes,60,,,No,No,No,,No
iCloud,4,2,6,1,1,6,6,0,0,,USA,Five,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,SSL/TLS,None,Yes,1,No,No,No,No,No,5,5,0,0,1,A-,Self,"$0,00","$0,00",Yes,Free,,,,,,,
KolabNow,1,1,4,0,2,2,3,7,0,,Switzerland,Cooperative,No,,,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,SSL/TLS,None,No,1,Yes,Yes,Yes,Yes,No,2,2,1,1,1,A+,Self,"$8,85","$8,85",Yes,0,,,,,,,
LavaBit,4,1,1,1,2,6,1,7,0,,USA,Five,Yes,,,Email,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,SSL/TLS,,No,1,No,No,No,No,No,5,5,0,0,2,A,Self,"$2,50","$2,50",No,0,,,,,,,
Lycos,4,"1,5",5,"3,5",4,7,15,0,4,,USA,Five,Yes,,Yes,No,Free,Free,Free,No,No,No,No,Yes,No,No,No,No,No,,,No,1,No,No,No,No,No,3,,5,3,86,F,No SSL Cert,"$0,00","$0,00",Free,Free,,,No,No,No,,No
Mail.com,4,2,5,"3,5",4,3,7,0,4,,USA,Five,Yes,Yes,Yes,No,Free,Free,Free,No,No,No,No,Yes,No,No,No,No,No,,,No,1,Yes,Yes,No,Yes,No,2,2,9,5,25,A,Self,"$0,00","$0,00",Free,Free,,,No,No,No,,No
Mailbox.org,1,1,4,0,0,1,1,2,0,,Germany,Fourteen,No,,,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,SSL/TLS,PGP,Yes,3,Yes,Yes,Yes,Yes,Yes,2,"0,1",0,1,0,A+,Self,"$1,07","$0,36",Yes,14,,,,,,,
Mailfence,1,"1,5",4,0,0,0,1,4,0,,Belgium,Fourteen,No,,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,SSL/TLS,PGP,Yes,10,Yes,Yes,Yes,Yes,Yes,5,9,0,0,1,A+,Self,"$2,68","$0,27",Yes,0,,,,,,,
MsgSafe.io,0,1,"4,5","2,5",1,5,3,5,0,,Panama,No,No,,,No,No,No,No,Some,Yes,No,Yes,Yes,Yes,No,No,No,Yes,SSL/TLS,PGP,No,25,Yes,No,No,No,No,5,,5,2,0,A,Fastly,"$5,00","$0,20",Yes,0,,,,,,,
NeoMailbox,1,"0,5",2,0,1,6,0,4,0,,Switzerland,Cooperative,No,,No,Email,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,STARTTLS,PGP,No,1,Yes,No,No,No,No,1,0,0,0,0,A,Self,"$4,17","$4,17",Yes,30,,,,,,,
